person_uuid,first_name,middle_name,last_name,name_suffix,pref_name,date_of_birth
7340f32a-ec7d-4050-9284-fb3d089d5d0b,"Howard","","Stark","","Howard",
91628094-a65c-46fd-866c-595ae3b37938,"Edwin","","Jarvis","","Edwin",
e92cd0f8-0d70-445a-a6a2-b5ed1bdc810e,"Tony","","Stark","","Tony",
f961a3e8-d3e4-4010-a435-0e1e3d4793fe,"Pepper","","Potts","","Pepper",
c19e51e7-84e8-4e30-86cc-512b91884ecb,"James","","Rhodes","","James",
37a43dc5-53d2-4b97-bce6-f08d75d29338,"Happy","","Hogan","","Happy",
909b11ef-bbb1-47d3-9e8a-2502a447d601,"Obadiah","","Stane","","Obadiah",
7406ff11-030c-4956-ad46-162ccb5c27ed,"Natasha","","Romanoff","","Natasha",
7015d969-aa11-4877-8654-f7445ce2b778,"Maria","","Hill","","Maria",
24a59cb8-0308-4db5-b908-9df3533160aa,"Harley","","Keener","","Harley",
e1addd1c-c1f8-4fcb-be27-9f65943f492c,"Yinsen","","Ho","","Yinsen",
adfebee4-a04d-4430-af8a-3202e05ea6fb,"Jocasta","","","Jocasta",,
9b56b498-a561-42b7-a42d-9999a507a414,"Erik","","Selvig","","Erik",
3963a44e-336a-4d92-825e-9457c6c88a65,"Helen","","Cho","","Helen",
3d401bd8-dbcc-41fa-beab-093ef9e59e23,"Justin","","Hammer","","Justin",
94ce84b4-f7f6-4610-b03f-78d76d20adcb,"Anton","","Vanko","","Anton",
c7537b5e-2fa2-4e33-86ab-2392b67d41c9,"Jason","","Wilkes","","Jason",
1a17ca51-2e9d-4eb7-be94-db7bf5ee481c,"William","","Ginter Riva","","William",
776c8bfd-d79e-4149-a96a-d65e1b7137fe,"Quentin","","Beck","","Quentin",
6fd38e2c-d2bc-4f4a-8127-bfbde27e0109,"Janice","","Lincoln","","Janice",
3214e495-42df-4d30-8dbb-e5b7611192db,"Sharon","","Davis","","Sharon",
6a7ed6a3-2ede-4dd6-99ec-3820a280617b,"William","","J. Law III","","William",
f58de9f4-566a-40a2-9a77-a0e5ea16a96b,"Walt","","Hadfield","","Walt",
f8d65976-41fd-40af-94de-edc00fba2d19,"Natalie","","Rushman","","Natalie",
ea02140e-e6f7-4511-a0d7-09e7e3634dbe,"Bambi","","Arbogast","","Bambi",
0e8a9be1-bd9c-454f-8247-6aea9066078a,"T.","","Bennett","","T.",
a420b3d0-bba4-4c53-a477-1fa78bc18e6f,"Trixie","","","Trixie",
a5ab7c05-8839-4ba0-b9be-b4b04a1b0cbd,"Peter","","Parker","","Peter",
a030915c-8eb0-4e01-9d10-21e21e565904,"Victoria","","Snow","","Victoria",
93c6e3ce-f629-496c-8c6f-904d4916e2b8,"Gutes","","Guterman","","Gutes",
340a180a-73c2-4877-a85e-2280321b7c9f,"Charles","","Healy","","Charles",
d91610a8-9bf8-4421-8404-f15ba4bbe850,"Gilbert","","O'Connor","","Gilbert",
b23f5311-c577-43f8-b0b4-e39562da4b4d,"Klaus","","Haas","","Klaus",
af3529c3-9c68-4c8e-8b7c-0113893c6267,"Karl","","Oakley","","Karl",
